position,entry_time,exit_time,duration,color
"(267, 434)",1718177019.71,1718177022.25,2.53,Gray
"(1014, 256)",1718177019.71,1718177022.54,2.83,Blue
"(858, 174)",1718177019.71,1718177022.83,3.12,Green
"(949, 215)",1718177020.26,1718177024.81,4.54,White
"(266, 461)",1718177022.25,1718177025.09,2.84,Blue
"(857, 128)",1718177023.96,1718177026.77,2.81,White
"(859, 419)",1718177018.71,1718177026.77,8.06,Red
"(555, 297)",1718177019.71,1718177026.77,7.06,Red
"(949, 277)",1718177019.44,1718177027.09,7.65,Red
"(266, 571)",1718177018.6,1718177027.67,9.07,Red
"(674, 264)",1718177022.54,1718177027.97,5.42,White
"(950, 292)",1718177026.49,1718177028.54,2.05,Red
"(1014, 302)",1718177027.39,1718177029.71,2.32,White
"(555, 297)",1718177027.09,1718177029.71,2.63,Red
"(923, 323)",1718177019.71,1718177030.55,10.84,White
"(949, 277)",1718177027.39,1718177031.11,3.72,Red
"(266, 461)",1718177028.54,1718177032.82,4.29,Gray
"(739, 481)",1718177018.71,1718177033.11,14.4,Red
"(949, 215)",1718177031.11,1718177033.97,2.85,Gray
"(830, 219)",1718177018.71,1718177033.97,15.25,Blue
"(857, 128)",1718177031.95,1718177034.26,2.3,Red
"(555, 297)",1718177031.11,1718177035.1,3.99,Red
"(1107, 117)",1718177019.71,1718177035.94,16.23,White
"(766, 481)",1718177031.67,1718177037.06,5.38,Blue
"(266, 461)",1718177033.41,1718177037.06,3.65,Gray
"(267, 434)",1718177026.49,1718177038.76,12.27,Gray
"(950, 262)",1718177018.93,1718177039.03,20.1,Blue
"(857, 159)",1718177036.78,1718177039.33,2.55,Gray
"(1107, 117)",1718177037.34,1718177040.15,2.81,White
"(857, 204)",1718177019.44,1718177040.15,20.71,Red
"(674, 264)",1718177031.95,1718177040.15,8.2,White
"(1014, 256)",1718177038.18,1718177040.44,2.26,Violet
"(857, 128)",1718177034.83,1718177040.72,5.89,White
"(553, 266)",1718177018.93,1718177040.72,21.79,Violet
"(830, 219)",1718177035.94,1718177041.55,5.61,Blue
"(949, 215)",1718177039.87,1718177042.67,2.8,White
"(949, 277)",1718177033.41,1718177042.95,9.55,Green
"(949, 277)",1718177043.24,1718177046.31,3.07,White
"(833, 604)",1718177019.71,1718177047.15,27.43,Green
"(645, 450)",1718177039.87,1718177047.15,7.27,White
"(1107, 117)",1718177041.83,1718177047.43,5.59,White
"(857, 204)",1718177046.59,1718177048.83,2.24,Red
"(949, 277)",1718177046.87,1718177049.68,2.81,White
"(555, 297)",1718177038.76,1718177049.68,10.92,Red
"(171, 522)",1718177018.71,1718177049.68,30.97,Blue
"(674, 264)",1718177043.24,1718177051.35,8.11,White
"(266, 461)",1718177037.89,1718177051.35,13.46,Gray
"(1014, 240)",1718177018.71,1718177052.21,33.5,Gray
"(765, 112)",1718177018.71,1718177052.21,33.5,White
